Abashiri	網走市
Abiko	我孫子市
Abira	安平町
Abu	阿武町
Adachi	足立区
Aga	阿賀町
Agano	阿賀野市
Agematsu	上松町
Ageo	上尾市
Agui	阿久比町
Aibetsu	愛別町
Aikawa	愛川町
Ainan	愛南町
Aioi	相生市
Aira	姶良市
Aisai	愛西市
Aishō	愛荘町
Aizubange	会津坂下町
Aizumi	藍住町
Aizumisato	会津美里町
Aizuwakamatsu	会津若松市
Ajigasawa	鰺ヶ沢町
Akabira	赤平市
Akaiwa	赤磐市
Akashi	明石市
Aki	安芸市
Akigawa	秋川市
Akiōta	安芸太田町
Akiruno	あきる野市
Akishima	昭島市
Akita	秋田市
Akita	秋田
Akitakata	安芸高田市
Akkeshi	厚岸町
Akō	赤穂市
Akune	阿久根市
Ama	あま市
Ama	海士町
Amagasaki	尼崎市
Amagi	天城町
Amagi	甘木市
Amakusa	天草市
Amami	奄美市
Ami	阿見町
Anamizu	穴水町
Anan	阿南市
Anan	阿南町
Ando	安堵町
Anjō	安城市
Annaka	安中市
Anpachi	安八町
Aomori	青森市
Aomori	青森
Arakawa	荒川区
Arao	荒尾市
Arida	有田市
Aridagawa	有田川町
Arita	有田町
Asagiri	あさぎり町
Asago	朝来市
Asahi	旭市
Asahi	朝日町
Asahikawa	旭川市
Asahikawa	旭川
Asaka	朝霞市
Asakawa	浅川町
Asakuchi	浅口市
Asakura	朝倉市
Ashibetsu	芦別市
Ashibetsu	芦別
Ashikaga	足利市
Ashikaga	足利
Ashikita	芦北町
Ashiya	芦屋市
Ashiya	芦屋
Ashiya	芦屋町
Ashoro	足寄町
Aso	阿蘇市
Assabu	厚沢部町
Atami	熱海市
Atami	熱海
Atsugi	厚木市
Atsugi	厚木
Atsuma	厚真町
Awa	阿波市
Awaji	淡路市
Awara	あわら市
Aya	綾町
Ayabe	綾部市
Ayagawa	綾川町
Ayase	綾瀬市
Azumino	安曇野市
Bandai	磐梯町
Bandō	坂東市
Beppu	別府市
Beppu	別府
Betsukai	別海町
Bibai	美唄市
Biei	美瑛町
Bifuka	美深町
Bihoro	美幌町
Biratori	平取町
Bisai	尾西市
Bizen	備前市
Bungo-ōno	豊後大野市
Bungotakada	豊後高田市
Bunkyō	文京区
Buzen	豊前市
Chatan	北谷町
Chiba	千葉市
Chiba	千葉
Chichibu	秩父市
Chigasaki	茅ヶ崎市
Chigasaki	茅ヶ崎
Chikugo	筑後市
Chikujō	築上町
Chikuma	千曲市
Chikusei	筑西市
Chikushino	筑紫野市
Chikuzen	筑前町
China	知名町
Chino	茅野市
Chippubetsu	秩父別町
Chiryū	知立市
Chita	知多市
Chitose	千歳市
Chitose	千歳
Chiyoda	千代田区
Chiyoda	千代田町
Chizu	智頭町
Chofu	調布
Chōfu	調布市
Chōnan	長南町
Chōshi	銚子市
Chūō	中央区
Chūō	中央市
Daigo	大子町
Daisen	大仙市
Daisen	大山町
Daito	大刀
Daitō	大東市
Date	伊達市
Dazaifu	太宰府市
Ebetsu	江別市
Ebina	海老名市
Ebino	えびの市
Echizen	越前市
Echizen	越前町
Edogawa	江戸川区
Eiheiji	永平寺町
Ena	恵那市
Enbetsu	遠別町
Engaru	遠軽町
Eniwa	恵庭市
Erimo	えりも町
Esashi	江差町
Esashi	枝幸町
Esashi	江刺市
Etajima	江田島市
Fuchu	府中
Fuchū	府中市
Fuchū	府中町
Fuefuki	笛吹市
Fuji	富士市
Fuji	富士
Fujieda	藤枝市
Fujiidera	藤井寺市
Fujikawa	富士川町
Fujikawaguchiko	富士河口湖町
Fujimi	富士見市
Fujimi	富士見町
Fujimino	ふじみ野市
Fujinomiya	富士宮市
Fujioka	藤岡市
Fujioka	藤岡
Fujisaki	藤崎町
Fujisato	藤里町
Fujisawa	藤沢市
Fujisawa	藤沢
Fujiyoshida	富士吉田市
Fukagawa	深川市
Fukaura	深浦町
Fukaya	深谷市
Fukuchi	福智町
Fukuchiyama	福知山市
Fukuchiyama	福知山
Fukui	福井市
Fukui	福井
Fukuoka	福岡市
Fukuoka	福岡
Fukuroi	袋井市
Fukusaki	福崎町
Fukushima	福島市
Fukushima	福島
Fukushima	福島町
Fukutsu	福津市
Fukuyama	福山市
Fukuyama	福山
Funabashi	船橋市
Funabashi	船橋
Funagata	舟形町
Furano	富良野市
Furano	富良野
Furubira	古平町
Furudono	古殿町
Fusō	扶桑町
Fussa	福生市
Futaba	双葉町
Futtsu	富津市
Gamagōri	蒲郡市
Genkai	玄海町
Gero	下呂市
Gifu	岐阜市
Gifu	岐阜
Ginan	岐南町
Ginowan	宜野湾市
Ginowan	宜野湾
Gobō	御坊市
Gōdo	神戸町
Gojō	五條市
Gojōme	五城目町
Goka	五霞町
Gokase	五ヶ瀬町
Gonohe	五戸町
Gose	御所市
Gosen	五泉市
Goshogawara	五所川原市
Goshogawara	五所川原
Gotenba	御殿場市
Gotō	五島市
Gōtsu	江津市
Gujō	郡上市
Gushikawa	具志川
Gyōda	行田市
Gyokutō	玉東町
Habikino	羽曳野市
Haboro	羽幌町
Hachijō	八丈町
Hachimantai	八幡平市
Hachinohe	八戸市
Hachinohe	八戸
Hachioji	八王子
Hachiōji	八王子市
Hachirōgata	八郎潟町
Hadano	秦野市
Haebaru	南風原町
Haga	芳賀町
Hagi	萩市
Hakodate	函館市
Hakodate	函館
Hakone	箱根
Hakone	箱根町
Hakuba	白馬
Hakui	羽咋市
Hakusan	白山市
Hamada	浜田市
Hamamatsu	浜松市
Hamamatsu	浜松
Hamanaka	浜中町
Hamatonbetsu	浜頓別町
Hamura	羽村市
Hanamaki	花巻市
Hanawa	塙町
Handa	半田市
Hannan	阪南市
Hannō	飯能市
Hanyū	羽生市
Happō	八峰町
Haramachi	原町市
Harima	播磨町
Hasami	波佐見町
Hashikami	階上町
Hashima	羽島市
Hashimoto	橋本市
Hasuda	蓮田市
Hatoyama	鳩山町
Hatsukaichi	廿日市市
Hayakawa	早川町
Hayama	葉山町
Hayashima	早島町
Heguri	平群町
Hekinan	碧南市
Hichisō	七宗町
Hida	飛騨市
Hidaka	日高市
Hidaka	日高町
Hidakagawa	日高川町
Higashiagatsuma	東吾妻町
Higashihiroshima	東広島市
Higashiizu	東伊豆町
Higashikagawa	東かがわ市
Higashikagura	東神楽町
Higashikawa	東川町
Higashikurume	東久留米市
Higashikushira	東串良町
Higashimatsushima	東松島市
Higashimatsuyama	東松山市
Higashimiyoshi	東みよし町
Higashimurayama	東村山市
Higashine	東根市
Higashiōmi	東近江市
Higashiōsaka	東大阪市
Higashisonogi	東彼杵町
Higashiura	東浦町
Higashiyamato	東大和市
Hiji	日出町
Hikari	光市
Hikawa	氷川町
Hikone	彦根市
Hikone	彦根
Himeji	姫路市
Himeji	姫路
Himi	氷見市
Hino	日野市
Hino	日野
Hino	日野町
Hinode	日の出町
Hinokage	日之影町
Hioki	日置市
Hirado	平戸市
Hiraizumi	平泉町
Hirakata	枚方市
Hirakawa	平川市
Hiranai	平内町
Hirao	平生町
Hiratsuka	平塚市
Hiratsuka	平塚
Hirogawa	広川町
Hirokawa	広川町
Hirono	洋野町
Hirono	広野町
Hiroo	広尾町
Hirosaki	弘前市
Hirosaki	弘前
Hiroshima	広島市
Hiroshima	広島
Hisayama	久山町
Hita	日田市
Hitachi	日立市
Hitachinaka	ひたちなか市
Hitachiōmiya	常陸大宮市
Hitachiōta	常陸太田市
Hitoyoshi	人吉市
Hōdatsushimizu	宝達志水町
Hōfu	防府市
Hōjō	北条市
Hōki	伯耆町
Hokota	鉾田市
Hokuei	北栄町
Hokuryū	北竜町
Hokuto	北斗市
Hokuto	北杜市
Honbetsu	本別町
Honjō	本庄市
Honjō	本荘市
Horokanai	幌加内町
Horonobe	幌延町
Hōya	保谷市
Hyūga	日向市
Ibara	井原市
Ibaraki	茨木市
Ibaraki	茨城
Ibaraki	茨城町
Ibigawa	揖斐川町
Ibusuki	指宿市
Ibusuki	指宿
Ichihara	市原市
Ichihara	市原
Ichikai	市貝町
Ichikawa	市川市
Ichikawa	市川
Ichikawa	市川町
Ichikawamisato	市川三郷町
Ichikikushikino	いちき串木野市
Ichinohe	一戸町
Ichinomiya	一宮市
Ichinomiya	一宮
Ichinomiya	一宮町
Ichinoseki	一関市
Ide	井手町
Iga	伊賀市
Iida	飯田市
Iide	飯豊町
Iijima	飯島町
Iinan	飯南町
Iiyama	飯山市
Iizuka	飯塚市
Iizuna	飯綱町
Ikaruga	斑鳩町
Ikata	伊方町
Ikawa	井川町
Ikeda	池田市
Ikeda	池田
Ikeda	池田町
Iki	壱岐市
Ikoma	生駒市
Ikoma	生駒
Imabari	今治市
Imabari	今治
Imabetsu	今別町
Imakane	今金町
Imari	伊万里市
Imari	万里
Imizu	射水市
Ina	伊那市
Ina	伊奈町
Inabe	いなべ市
Inagawa	猪名川町
Inagi	稲城市
Inami	稲美町
Inami	印南町
Inashiki	稲敷市
Inawashiro	猪苗代町
Inazawa	稲沢市
Ine	伊根町
Innoshima	原町市
Ino	いの町
Inuyama	犬山市
Inzai	印西市
Iruma	入間市
Isa	伊佐市
Isahaya	諫早市
Ise	伊勢市
Ise	伊勢
Isehara	伊勢原市
Isen	伊仙町
Isesaki	伊勢崎市
Ishigaki	石垣市
Ishii	石井町
Ishikari	石狩市
Ishikawa	石川町
Ishinomaki	石巻市
Ishioka	石岡市
